	en-IE	es-ES	uniqueWordsCount_en	uniqueWordsCount_es
0	"Premium heavyweight fleece provides year-round warmth on all but the coldest days!

The Hightail Pullover hoodie is an instant classic, with big and bold Fox branding that'll show you know where it's at the minute you slip this bad boy on. It's constructed from a premium, heavyweight cotton/polyester fleece and features hand warmer pockets and adjustable hood, making it the perfect layer on chilly nights and early starts. The iconic Fox Head and Fox Racing screen print will quickly make this your favourite go-to hoodie. 

Features:
• Soft brushed interior
• Heavyweight fleece combines comfort, warmth, and style
• Fox head/Fox racing art screen print at front chest
• Fox woven label at bottom right of kanga pocket
• Silicone coated eyelets
• Flat drawcord with silicone coated aglets."	"Un forro polar de alta calidad que proporciona calor durante todo el año en todos los días excepto en los más fríos.

La sudadera Hightail presenta un clásico instantáneo con el logo de Fox en grande para que puedas reconocerla en cualquier momento. Se ha confeccionado con un forro polar de algodón y poliéster de primera calidad, cuenta con bolsillos para calentar las manos y una capucha ajustable, lo que la convierte en la capa perfecta para las noches y las mañanas frías. La emblemática serigrafía Fox Head y Fox Racing la convertirá rápidamente en tu sudadera con capucha favorita. 

Características:
• Interior cepillado suave
• El forro polar pesado combina comodidad, calidez y estilo
• Serigrafía de Fox Head/Racing en la parte delantera del pecho
• Etiqueta tejida de Fox en la zona inferior derecha del bolsillo de canguro
• Ojales recubiertos de silicona
• Cordón plano con herretes recubiertos de silicona"	95	94
1	"Asterisk Ultra Cell 3.0. is a hand-built state-of-the-art knee brace made by riders - for riders. Asterisk have trimmed down the profile of the liners in the previous Ultra Cell and made getting in and out of the brace very easy with 4 snap-in strap liner attachments. These also allow independent adjustment for the best comfort and support. 

Features:
• Hand-built in USA
• Easily adjustable straps
• Quick release system
• Undersleeves and tethers included"	"La Asterisk Ultra Cell 3.0 es una rodillera de última generación hecha a mano por riders y para riders. Asterisk ha perfilado la forma de los forros de la anterior Ultra Cell y ha mejorado la entrada y la salida de la pierna mediante cuatro correas a presión en el forro. Además, estas permiten un ajuste independiente para ofrecer una comodidad y un soporte excepcionales. 

Características:
- Fabricadas a mano en EE.UU.
- Correas ajustables cómodas
- Sistema de liberación rápida
- Medias interiores y correas incluidas"	56	58
2	"The new O’Neal Element Squadron Youth MX Jersey is a really great jersey. Everything you need to get over the checkered flag in style, comfort, and protection against debris. Check out all features below!
 
Features:
• Great jersey quality at an affordable price
• Breathable, moisture-wicking material
• Multiple panel construction for an ergonomically correct cut and fit
• Flexible and vented V-Neck collar
• Padded elbow protection
• Extended tail with cooling mesh
• Bold, non-fade sublimated graphics
• Comfortable loose fit for maximum freedom-of-movement"	"La nueva camiseta de cross O’Neal Element Squadron para niños es una camiseta genial. Todo lo que necesitas para superar la desafiante carretera que tienes por delante con estilo, comodidad y protección contra los escombros. ¡Echa un vistazo a todas las características a continuación!
 
Características:
• Gran calidad a un precio asequible
• Material transpirable que absorbe la humedad
• Estructura multipanel para ofrecer un corte ergonómico
• Cuello de pico flexible y ventilado
• Acolchado de protección en los codos
• Zona trasera más larga con malla refrigerante
• Gráficos sublimados que no se desvanecen según los lavas
• Corte holgado y cómodo para disfrutar de la máxima libertad de movimiento"	70	80
3	FOX Nuklr Head Youth T-Shirt	Camiseta Niño FOX Nuklr Head	5	5
4	"FOX Racing's Boundary women's shirt is a classic v-neck t-shirt which gives you a relaxed fit that'll make you feel as laid back as the soft fabric and style!

Features:
• V-neckline
• Screenprint artwork
• 100% cotton jersey, 120g"	"La camiseta para mujer Boundary SS de FOX Racing te ofrece un ajuste holgado que te hará sentir tan relajada como el tejido suave esta camiseta.

Características:
• Cuello de pico 
• Estampado serigrafiado
• 100 % punto de algodón de 120 g"	35	37
5	A cool t-shirt from iconic Fox Racing with high quality construction and bags of attitude.	Una camiseta cómoda y elegante de Fox con un diseño atractivo y fabricada con algodón.	15	13
6	A cool t-shirt from iconic Fox Racing with high quality construction and bags of attitude.	Una camiseta cómoda y elegante de Fox con un diseño atractivo y fabricada con algodón.	15	13
7	"Aluminium is teamed with innovative materials to create the ""EVO"" grips, a secure product sporting and eye-catching design. 
Machined from light alloy billet and then given an anodized surface finish, which means there are various colours to choose from. Special rubber inserts provide better grip and a more reliable ride. Grips come with three different rings, essentially making them universal. 
Technical notes: the grip is 120 mm long. Problems may be encountered when mounting on models featuring heated grips. 
 
Available a throttle control tube for several motorcycles equipped with Ride By Wire electronic control: 
Ducati MPA01B 
MV Agusta MPA02B or MPA03B"	"El aluminio se combina con materiales innovadores para crear las empuñaduras ""EVO"", un producto seguro deportivo y un diseño atractivo. 
Mecanizado a partir de palanquilla de aleación ligera y luego con un acabado superficial anodizado, lo que significa que hay varios colores entre los que elegir. Las inserciones especiales de goma proporcionan un mejor agarre y un conducir más fiable. Las empuñaduras vienen con tres anillos diferentes, lo que las hace esencialmente universales. 
Notas técnicas: la empuñadura tiene 120 mm de longitud. Se pueden encontrar problemas al montar en modelos con empuñaduras calefactadas. 
 
Disponible un tubo de control del acelerador para varias motocicletas equipadas con control electrónico Ride By Wire: 
Ducati MPA01B 
MV Agusta MPA02B o MPA03B"	91	90
8	"Men's Excursion Mitt Black

Features:
• Heat-pack compatible pocket on the wrist
• Pre-curved fit for increased dexterity
• Zoned insulation for warmth
• Fleece lining
• 3M™ Scotchlite™ reflective
• New silicone print design on palm for added grip"	"Manopla para hombre negra 

Características:
• Bolsillo compatible con mochila térmica en la muñeca
• Ajuste precurvado para mejorar la destreza
• Aislamiento por zonas para mayor calidez
• Forro de felpa
• Detalles reflectantes Scotchlite™ 3M
• Nuevo diseño estampado de silicona en la palma para mejorar el agarre"	32	37
9	"Men's Attack Lite Glove Black

Features:
• Thinsulate® 100g back of hand, thumb and fourchettes insulation
• Durable 4-way stretch polyester shell construction
• HydrX Pro™ X-grip waterproof / breathable membrane construction
• Microfleece lining
• Soft gauge index finger for goggle wipe
• Goggle and nose wipe suede thumbs
• Silicone traction palm
• Aggressive pre-curved finger design for precision fit and dexterity
• Wrist strap adjuster"	"Guantes Attack Lite Negros para Hombre

Características:
• Aislamiento Thinsulate® 100g en dorso y pulgar 
• Estructura duradera de poliéster elástico en 4 direcciones
• Membrana impermeable/transpirable HydrX Pro™
• Forro de felpa suave
• Toallita para gafas TPR de dedo índice de calibre suave
• Pulgares limpia gafas
• Palma de tracción de silicona
• Diseño de dedos precurvado para mejorar el ajuste y el control
• Ajustador de la correa de la muñeca"	53	51
